Datetime,Open,High,Low,Close,Volume,quote_av,trades,tb_base_av,tb_quote_av
2023-05-04 00:00:00,1.3126,1.3863,1.2859,1.3716,26842316.0,36194498.0,113987.0,13306309.0,17947409.0
2023-05-04 00:30:00,1.3717,1.3957,1.3547,1.3733,25144236.0,34674793.0,104233.0,12502893.0,17245248.0
2023-05-04 01:00:00,1.3731,1.3928,1.3405,1.382,21931034.0,29921460.0,91636.0,10876532.4,14846587.0
2023-05-04 01:30:00,1.3818,1.3826,1.31,1.3331,20417838.0,27385767.0,85506.0,9492178.5,12735927.7
2023-05-04 02:00:00,1.3327,1.3624,1.32,1.3382,16965032.0,22718434.0,74466.0,8750578.2,11723294.6
2023-05-04 02:30:00,1.3388,1.3492,1.3079,1.3157,15241378.0,20213173.0,59799.0,7563325.4,10037554.0
2023-05-04 03:00:00,1.3156,1.3266,1.2811,1.3227,15100377.0,19736331.0,61176.0,7183886.9,9396435.5
2023-05-04 03:30:00,1.3228,1.3408,1.3011,1.3179,9472386.1,12521365.0,42077.0,4760299.5,6296605.6
2023-05-04 04:00:00,1.3178,1.36,1.3047,1.3482,10144733.0,13581783.0,43197.0,5442000.6,7290697.8
2023-05-04 04:30:00,1.3476,1.3749,1.335,1.3713,10217660.0,13862828.0,47676.0,5559351.0,7547155.6
2023-05-04 05:00:00,1.3713,1.3784,1.34,1.3545,10510844.0,14269428.0,42691.0,5180807.0,7032005.1
2023-05-04 05:30:00,1.3545,1.3651,1.3456,1.356,4974083.1,6735360.7,21297.0,2654229.4,3594212.4
2023-05-04 06:00:00,1.356,1.41,1.3535,1.37,12236121.0,16889043.8,52661.0,6927027.5,9568254.1
2023-05-04 06:30:00,1.3698,1.3891,1.3579,1.3745,9379995.4,12858299.0,38068.0,4948593.0,6787097.5
2023-05-04 07:00:00,1.3747,1.4016,1.3623,1.3856,9684432.5,13400020.0,40479.0,4999225.7,6922698.6
2023-05-04 07:30:00,1.3858,1.4125,1.3656,1.3932,15706158.0,21795333.0,65046.0,8443090.7,11725593.4
2023-05-04 08:00:00,1.3934,1.4698,1.3851,1.4604,31292844.0,44997525.0,119608.0,16456379.0,23667286.0
2023-05-04 08:30:00,1.4605,1.4931,1.454,1.4654,27895452.0,41147469.0,108881.0,13438440.0,19837559.0
2023-05-04 09:00:00,1.4652,1.4819,1.4611,1.4755,10733189.0,15809876.0,46737.0,5341816.8,7869862.6
2023-05-04 09:30:00,1.4751,1.4897,1.4266,1.4476,18857702.0,27393791.0,76180.0,8462459.1,12301814.5
2023-05-04 10:00:00,1.4477,1.4525,1.4203,1.4234,11807215.0,16981569.0,45587.0,5756624.7,8285963.0
2023-05-04 10:30:00,1.4229,1.4463,1.414,1.4461,10533842.0,15074632.0,37252.0,5934031.6,8496384.5
2023-05-04 11:00:00,1.446,1.4465,1.375,1.3843,17967653.0,25313800.0,61356.0,7476176.7,10548220.4
2023-05-04 11:30:00,1.3844,1.4083,1.3768,1.4048,12878396.0,17945966.0,46877.0,6574874.8,9163015.0
2023-05-04 12:00:00,1.4047,1.418,1.385,1.4077,11185426.9,15686602.0,42941.0,5990289.1,8402672.7
2023-05-04 12:30:00,1.4075,1.4147,1.3983,1.4125,7131534.0,10031902.0,25990.0,3513059.1,4942849.3
2023-05-04 13:00:00,1.4125,1.4126,1.3854,1.3886,9065368.4,12669128.6,33732.0,4094844.8,5723840.1
2023-05-04 13:30:00,1.3886,1.4032,1.388,1.3961,6081271.2,8485377.0,21455.0,3069442.1,4283079.1
2023-05-04 14:00:00,1.3961,1.3976,1.35,1.3604,18928323.0,25942288.0,61615.0,8326333.3,11415713.3
2023-05-04 14:30:00,1.3605,1.375,1.3595,1.3711,8405702.9,11507333.0,27902.0,4033550.1,5522002.9
2023-05-04 15:00:00,1.371,1.382,1.3555,1.3574,8923829.4,12207014.0,31404.0,4335821.0,5935191.9
2023-05-04 15:30:00,1.3573,1.3743,1.355,1.3707,9009809.0,12282884.0,30841.0,4972969.2,6781305.9
2023-05-04 16:00:00,1.3709,1.3972,1.363,1.3861,12874810.0,17756099.0,42125.0,6983017.5,9634237.0
2023-05-04 16:30:00,1.386,1.39,1.3743,1.3824,9872396.4,13646028.0,35901.0,4757861.1,6577003.1
2023-05-04 17:00:00,1.3824,1.3827,1.365,1.3797,7171540.7,9839176.0,28126.0,3531208.6,4845197.8
2023-05-04 17:30:00,1.3796,1.39,1.3737,1.3866,6679055.5,9239836.4,30648.0,3563919.8,4931061.3
2023-05-04 18:00:00,1.3867,1.3868,1.3671,1.3787,9325729.0,12823038.0,40103.0,4604821.1,6332424.1
2023-05-04 18:30:00,1.3788,1.388,1.355,1.3637,17382085.0,23818668.0,69330.0,8046695.3,11031462.9
2023-05-04 19:00:00,1.3637,1.368,1.3511,1.3582,10888034.0,14797195.0,47288.0,5291678.1,7193186.6
2023-05-04 19:30:00,1.3582,1.363,1.296,1.3002,38990587.0,51671162.0,134077.0,16871618.3,22363722.0
2023-05-04 20:00:00,1.3006,1.3314,1.2943,1.33,22137320.0,29090265.0,88336.0,11624595.0,15282357.0
2023-05-04 20:30:00,1.33,1.3319,1.3121,1.3206,10571098.9,13961144.0,47495.0,5251158.3,6936140.1
2023-05-04 21:00:00,1.3207,1.3379,1.3207,1.3274,14205960.0,18896678.0,62230.0,7207980.8,9589073.0
2023-05-04 21:30:00,1.3275,1.3351,1.3117,1.3284,11160642.0,14769422.0,46802.0,5520331.0,7308082.3
2023-05-04 22:00:00,1.3284,1.3332,1.3022,1.32,12510246.3,16487976.0,50253.0,5783693.8,7625060.1
2023-05-04 22:30:00,1.32,1.3335,1.3162,1.3258,7175379.9,9516814.0,32776.0,3857888.4,5117675.3
2023-05-04 23:00:00,1.3257,1.3485,1.322,1.3451,8202747.1,10944739.0,35286.0,4795087.8,6400631.1
2023-05-04 23:30:00,1.3451,1.3459,1.3251,1.3303,9404088.3,12565755.0,38051.0,4322487.1,5776778.5
2023-05-05 00:00:00,1.3302,1.3456,1.3222,1.3368,10175587.0,13580379.0,43553.0,5193868.5,6934052.4
2023-05-05 00:30:00,1.3368,1.3424,1.3306,1.3329,5843133.8,7801095.0,25810.0,2971802.2,3967993.1
2023-05-05 01:00:00,1.333,1.3429,1.327,1.3297,5868614.1,7829596.0,25707.0,2701001.8,3604220.1
2023-05-05 01:30:00,1.3298,1.3299,1.3122,1.3237,9541380.4,12596064.5,40809.0,4292693.2,5667374.5
2023-05-05 02:00:00,1.3237,1.328,1.3155,1.3191,4685615.7,6193357.1,22399.0,2362084.4,3122435.2
2023-05-05 02:30:00,1.319,1.3242,1.312,1.3199,6127036.3,8073507.1,25727.0,3062810.5,4036986.7
2023-05-05 03:00:00,1.3199,1.336,1.3164,1.3319,6846027.5,9072119.6,30913.0,3802766.3,5040323.3
2023-05-05 03:30:00,1.3318,1.3376,1.3257,1.3327,4464144.9,5945612.9,22810.0,2278970.2,3035736.0
2023-05-05 04:00:00,1.3326,1.3437,1.3319,1.3351,4770235.1,6374728.3,24411.0,2422360.6,3237822.8
2023-05-05 04:30:00,1.3351,1.34,1.3216,1.3272,4515154.0,6003991.9,24963.0,2154314.1,2865338.8
2023-05-05 05:00:00,1.3273,1.3324,1.3226,1.3248,2548606.9,3381667.5,13002.0,1251072.7,1660142.1
2023-05-05 05:30:00,1.3249,1.3345,1.3161,1.3271,4278119.7,5664264.8,19599.0,2144543.1,2840404.8
2023-05-05 06:00:00,1.3271,1.3285,1.315,1.3206,3668694.8,4845727.0,17752.0,1780561.6,2352041.6999999997
2023-05-05 06:30:00,1.3207,1.3256,1.3175,1.321,2261742.6,2988347.6,11923.0,1132032.9,1495797.6
2023-05-05 07:00:00,1.3211,1.3223,1.317,1.3189,2408423.1,3177836.9,10696.0,1142523.7,1507670.37
2023-05-05 07:30:00,1.319,1.3329,1.3063,1.3295,8179444.1,10797280.8,30618.0,3916042.6,5172558.4
2023-05-05 08:00:00,1.3295,1.3385,1.318,1.3249,7664163.1,10181290.2,25063.0,3689111.4,4901331.2
2023-05-05 08:30:00,1.3249,1.3309,1.301,1.3111,7960134.7,10473566.8,32066.0,3605872.6,4751335.8
